Client_ID,Name,Age,Gender,City,Zone,Fashion_Wallet,Tier,LTV_Potential,Purchase_Motivation,Preferred_Channel,Return_Risk_Prob,Social_Influence_Score,Price_Sensitivity,Preferred_Hardware,Preferred_Material,Preferred_Size,Brand_Affinity,Sociological_Profile,Email,Current_Budget,Purchases_Count
CL-615487,María Fernanda Valbuena Jover,52,F,Marbella,Puerto Banús,5163,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,33,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Fendi,Global_Jetset,maría fernanda.valbuena@gmail.com,2052,0
CL-635318,Buenaventura Calvo Mayo,60,M,Palma,Son Vida,8179,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,63,Baja (Precio Completo),Oro,Metálico,Mini,Dolce & Gabbana | Fendi,Global_Jetset,buenaventura.calvo@gmail.com,260,0
CL-153763,Jessica Mariscal Gomis,42,F,Oviedo,Uría,7296,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,42,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Old_Money_Conservative,jessica.mariscal@gmail.com,1621,0
CL-316387,Edelmira Ros Torres,51,F,Madrid,Salamanca,5124,Gold (Recurrente),Medio,Inversión / Coleccionismo,Boutique Privada,0.05,15,Baja (Precio Completo),Oro (GHW),Box Leather,Mini/Small,Hermès | Dior,Aristocracy,edelmira.ros@gmail.com,1704,0
CL-383151,Danilo Duque Machado,39,M,Valencia,Pla del Remei,6752,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,15,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Urban_Sophisticated,danilo.duque@gmail.com,261,0
CL-589895,Gracia Barrios Samper,68,F,Alcobendas,La Moraleja,5710,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,14,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Cartier | Hermès,Elite,gracia.barrios@gmail.com,2591,0
CL-146244,Ámbar Muñoz Mena,43,F,Palma,Son Vida,6909,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,54,Baja (Precio Completo),Oro,Metálico,Mini,Hublot | Versace,Global_Jetset,ámbar.muñoz@gmail.com,6909,0
CL-631418,Vicenta Pizarro Herrera,49,F,Palma,Son Vida,8942,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,42,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Fendi | Hublot,Global_Jetset,vicenta.pizarro@gmail.com,5831,0
CL-378457,Clarisa Zabaleta Figueroa,57,F,Palma,Son Vida,26347,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,53,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,clarisa.zabaleta@gmail.com,19115,0
CL-958050,Lara Duran Gaya,35,F,Palma,Son Vida,6890,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,62,Baja (Precio Completo),Oro,Metálico,Mini,Versace | Fendi,Global_Jetset,lara.duran@gmail.com,3779,0
CL-918686,Natividad Cerezo Mas,56,F,Palma,Son Vida,32402,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,54,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Versace,Global_Jetset,natividad.cerezo@gmail.com,32402,0
CL-657691,Brunilda Roda Nuñez,52,F,Palma,Son Vida,8788,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,44,Baja (Precio Completo),Oro,Metálico,Mini,Hublot | Fendi,Global_Jetset,brunilda.roda@gmail.com,931,0
CL-186292,Ileana Maestre Espejo,49,F,Palma,Son Vida,86315,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,44,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Versace,Global_Jetset,ileana.maestre@gmail.com,86315,0
CL-186480,Arcelia Agustín Campillo,36,F,Marbella,Puerto Banús,30313,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,97,Baja (Precio Completo),Oro,Metálico,Mini,Fendi | Versace,Global_Jetset,arcelia.agustín@gmail.com,6982,0
CL-418019,Marisol Batlle Miralles,28,F,Murcia,Catedral,6823,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,29,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Agro_Wealth,marisol.batlle@gmail.com,546,0
CL-261259,Cruz Nebot Benavent,40,F,Marbella,Puerto Banús,7048,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,31,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Versace | Dolce & Gabbana,Global_Jetset,cruz.nebot@gmail.com,7048,0
CL-687889,Adelia Cervera Tejera,37,F,Oleiros,Icaria (Inditex),23782,VIP Platinum (Alto Valor),Alto,Tendencia y Estatus,WhatsApp Business,0.25,52,Media (Busca Valor),Paladio (PHW),Epsom,Large/Tote,Balenciaga | Prada,Fashion_Exec,adelia.cervera@gmail.com,13960,0
CL-638348,Mohamed Alba Ricart,44,M,Palma,Son Vida,102922,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,67,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Fendi | Dolce & Gabbana,Global_Jetset,mohamed.alba@gmail.com,98443,0
CL-692144,Paulina Girona Calderon,41,F,Marbella,Puerto Banús,7268,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,37,Baja (Precio Completo),Oro,Metálico,Mini,Hublot | Dolce & Gabbana,Global_Jetset,paulina.girona@gmail.com,7268,0
CL-964101,Roberta Mesa Frutos,39,F,Palma,Son Vida,6469,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,70,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,roberta.mesa@gmail.com,6469,0
CL-910078,Anunciación Salvador Barón,36,F,Madrid,Chamberí,30372,Gold (Recurrente),Medio,Recompensa / Éxito,E-Commerce,0.15,44,Media (Busca Valor),Oro,Grained Calf,Small/Medium,Gucci | Celine,Young_High_Pro,anunciación.salvador@gmail.com,817,0
CL-856533,Feliciana Serrano Lastra,39,F,Getafe,El Bercial,8445,Estándar (Ocasional),Bajo,Acceso al Lujo (Entry),Busca Chollos,0.15,18,Alta (Cazador de Ofertas),Paladio (PHW),Grained Calf,Small/Medium,Longchamp | Coach,Middle_Class,feliciana.serrano@gmail.com,8445,0
CL-738246,Áurea Bravo Cervantes,49,F,Palma,Son Vida,5160,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,50,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Hublot | Dolce & Gabbana,Global_Jetset,áurea.bravo@gmail.com,5160,0
CL-463065,Ascensión Sales Sans,38,F,Palma,Son Vida,4896,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,85,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Fendi | Hublot,Global_Jetset,ascensión.sales@gmail.com,1680,0
CL-151319,Herminia Casanovas Mesa,46,F,Palma,Son Vida,33563,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,52,Baja (Precio Completo),Oro,Metálico,Mini,Dolce & Gabbana | Hublot,Global_Jetset,herminia.casanovas@gmail.com,33563,0
CL-778280,Candelaria Vázquez Mayol,49,F,Getafe,El Bercial,35620,Estándar (Ocasional),Bajo,Acceso al Lujo (Entry),Busca Chollos,0.15,22,Alta (Cazador de Ofertas),Oro,Grained Calf,Small/Medium,Longchamp | Coach,Middle_Class,candelaria.vázquez@gmail.com,35620,0
CL-187277,Maricruz Real Novoa,38,F,Altea,Altea Hills,130294,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,34,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Louis Vuitton,Expat_Wealth,maricruz.real@gmail.com,111011,0
CL-551530,Ildefonso Ibarra Diaz,34,M,Palma,Son Vida,152494,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,86,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,ildefonso.ibarra@gmail.com,152494,0
CL-180909,Primitiva Carrera Ferrera,60,F,Marbella,Puerto Banús,6677,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,57,Baja (Precio Completo),Oro,Metálico,Mini,Fendi | Dolce & Gabbana,Global_Jetset,primitiva.carrera@gmail.com,118,0
CL-883401,Carmina Oller Llabrés,58,F,Alcobendas,La Moraleja,35920,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),E-Commerce,0.15,14,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Chanel | Hermès,Elite,carmina.oller@gmail.com,2619,0
CL-980375,Diana Coello Abad,53,F,Marbella,Puerto Banús,6569,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,45,Baja (Precio Completo),Oro,Metálico,Mini,Fendi | Dolce & Gabbana,Global_Jetset,diana.coello@gmail.com,3389,0
CL-364761,Olga Galindo Campillo,33,F,Altea,Altea Hills,33199,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,45,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Expat_Wealth,olga.galindo@gmail.com,3423,0
CL-969436,Dora Nadal Goñi,64,F,Getxo,Neguri,4171,Gold (Recurrente),Medio,Calidad y Atemporalidad,Boutique Física,0.05,19,Baja (Precio Completo),Oro (GHW),Clemence,Medium (30/32),Hermès | Prada,Industrial_Wealth,dora.nadal@gmail.com,684,0
